ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
335.56;0;1;17.56;0;0;0;0.1557;101.92
794.13;0;9.000;27.13;0;0;0;1.3320;1223.04
1076.13;9.600;11.400;28.89;0;0;9.600;3.0255;10548.72
1038.39;0;19.05;19.62;0;0;0;3.0513;2522.52
869.10;0;14.3;20.00;0;0;0;2.5895;1283.22
605.37;0;6.80;20.81;0;0;0;1.1165;2526.04
1711.35;12.500;35.8;10.25;0;0;12.500;2.5501;3923.92
339.71;0;2.000;15.63;0;0;0;0.4770;993.72
275.04;0;0.8;14.44;0;0;0;0.1458;377.10
274.44;0;0.7;14.62;0;0;0;0.1460;586.04
915.98;18.000;11;11.94;0;0;18.000;2.5811;7365.91
474.23;0;6.04;14.75;0;0;0;1.5258;3677.91
518.73;0;4.23;21.31;0;0;0;0.7381;2106.91
397.01;0;2.37;18.20;0;0;0;0.3237;114.66
490.05;0;5.52;16.81;0;0;0;0.9959;101.92
